"name","neighbourhood_group","neighbourhood","room_type","price"
"Brooklyn apartment","Brooklyn","Gravesend","Entire home/apt",100
"204 - COZY STUDIO unit in luxury amenity building","Manhattan","Upper East Side","Entire home/apt",139
"Big 1BR apt near Central Park & Times Square!","Manhattan","Midtown","Entire home/apt",150
"Heart of East Village-Fully Furnished Lovely Room","Manhattan","Nolita","Private room",97
"Hip, renovated 1-bedroom","Manhattan","Civic Center","Entire home/apt",100
"Cosy queen bdr near ocean 20 min to JFK 40min NYC","Queens","Rockaway Beach","Private room",65
"Private Sunlight Room in Brownstone Near Subway","Brooklyn","Bedford-Stuyvesant","Private room",74
"Huge 2 Bedroom Very convenient location","Manhattan","Harlem","Entire home/apt",120
"Furnished Room in Prime Upper West Side Location","Manhattan","Upper West Side","Private room",87
"Stuido apt near Lincoln Center","Manhattan","Upper West Side","Entire home/apt",150
"Cozy Ridgewood Room in Smart, Clean Apt.","Queens","Ridgewood","Private room",45
"#308 Furnished studio in the heart of Manhattan!","Manhattan","Gramercy","Entire home/apt",74
"Private bedroom in BK community, w/ parking","Brooklyn","Bedford-Stuyvesant","Private room",32
"Cozy Room 15mins from JFK & LGA","Queens","St. Albans","Private room",89
"Large private room in Astoria","Queens","Astoria","Private room",60
"Unfurnished Queen Room in East Harlem","Manhattan","East Harlem","Private room",64
"Couples Escape","Brooklyn","Bedford-Stuyvesant","Private room",36
"Modern 2BR Apt - 15 min to Manhattan, 10 to LGA","Queens","Maspeth","Entire home/apt",119
"Beuty full bedroom","Queens","Maspeth","Private room",50
"★ SECOND AVE & 22ND STREET ★ (2W)","Manhattan","Gramercy","Entire home/apt",187
"Futon in Brooklyn near subway","Brooklyn","Crown Heights","Shared room",35
"Cute room right by Prospect Park","Brooklyn","Prospect-Lefferts Gardens","Private room",35
"5th Ave Luxury St. Regis NYC King Room Manhattan","Manhattan","Midtown","Entire home/apt",799
"Private room near Columbia University","Manhattan","Morningside Heights","Private room",80
"Gorgeous Adelphi Oasis","Brooklyn","Fort Greene","Entire home/apt",90
"Luxury 2B / 2BA Condo W/D, Dish, A/C, FIOS","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",262
"Chic Studio in the heart of the East Village","Manhattan","East Village","Entire home/apt",105
"Summertime in Brooklyn!","Brooklyn","Flatbush","Entire home/apt",650
"Manhattan townhouse near subway","Manhattan","Harlem","Entire home/apt",300
"*SUNNY 1 BDR APT IN FORT GREENE - Brooklyn","Brooklyn","Fort Greene","Entire home/apt",145
"Lovely Brooklyn House","Brooklyn","Gowanus","Entire home/apt",260
"(4RW) Awesome Chelsea Studio In Perfect Location","Manhattan","Chelsea","Entire home/apt",100
"STYLISH 2 BEDROOM ROOM FOR 6 TIME SQUARE APT","Manhattan","Hell's Kitchen","Entire home/apt",396
"Historic District Brownstone 35 min from Midtown","Brooklyn","Crown Heights","Entire home/apt",82
"Williamsburg Plant Filled Sunny Apartment :D","Brooklyn","Williamsburg","Private room",250
"Spacious Sunny room in Williamsburg","Brooklyn","Williamsburg","Private room",69
"Spacious 1 b/r with skylights and W/D","Brooklyn","Gowanus","Entire home/apt",104
"Sunny Space Off The Bay","Brooklyn","Bay Ridge","Private room",41
