"name","neighbourhood_group","neighbourhood","room_type","price"
"Bright and Spacious  room short walk to subway","Brooklyn","Crown Heights","Private room",95
"Bright 2 bedroom apartment","Manhattan","Hell's Kitchen","Entire home/apt",150
"Brownstone Garden in Crown Heights, 1/1 w/alcove","Brooklyn","Crown Heights","Entire home/apt",124
"Room Available for Rent! $750/month + Free Parking","Queens","Flushing","Private room",34
"The Gem of Midtown","Manhattan","Midtown","Entire home/apt",291
"Sunny Room in Private House-NYC","Bronx","Allerton","Private room",40
"Thelma apartments","Brooklyn","Bensonhurst","Entire home/apt",110
"Stylish Modern Comfort in Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Entire home/apt",110
"BIG SPACIOUS 1 BED IN BROOKLYN HIGH CEILINGS","Brooklyn","Bedford-Stuyvesant","Private room",80
"TRAIN NEAR, 10JFK, 30LGA CuteBedr in3Bed,Manhattan","Queens","Richmond Hill","Private room",19
"Private room 1 block from Bedford L","Brooklyn","Williamsburg","Private room",40
"Sunny apartment in Prospect Lefferts Gardens","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",119
"Immaculate and Sweet Carroll Gardens 1 Bedroom","Brooklyn","Carroll Gardens","Entire home/apt",184
"Private studio with free reserved parking spot","Queens","Jackson Heights","Entire home/apt",95
"Private Room with a Majestic View","Manhattan","Washington Heights","Private room",60
"Private room in a cozy apartment, Upper West Side","Manhattan","Upper West Side","Private room",55
"Spacious room in Park Slope","Brooklyn","Park Slope","Private room",45
"Cute Full Apt in Wahi!! One Block from 1/A trains!","Manhattan","Washington Heights","Entire home/apt",99
"2 bedroom w/ private back yard, laundry in unit!","Manhattan","Greenwich Village","Entire home/apt",193
"Pre-War Gem in the heart of the UWS","Manhattan","Upper West Side","Entire home/apt",350
"Charming UES 1bdr near Central Park","Manhattan","Upper East Side","Entire home/apt",154
"Cozy apartment on the Upper East aside","Manhattan","Upper East Side","Entire home/apt",250
"Designer's Red Hook Apartment","Brooklyn","Red Hook","Entire home/apt",158
"SPACIOUS & COZY APARTMENT, 35 MINS FROM MANHATTAN","Brooklyn","Cypress Hills","Entire home/apt",65
"Clean and Cozy East Village Studio","Manhattan","East Village","Entire home/apt",115
"beautiful, converted multi-unit building","Manhattan","East Village","Entire home/apt",220
"Amazing 2 Room South Slope Rental Available 10/1!","Brooklyn","South Slope","Private room",200
"Private Room in East Village  *FEMALE Guests only*","Manhattan","East Village","Private room",85
"TOURISTS DREAM - Room steps from Grand Central","Manhattan","Midtown","Private room",215
"Your home away from home!!","Brooklyn","Crown Heights","Entire home/apt",101
"Perfect location for first time NYC travelers!!","Manhattan","Midtown","Entire home/apt",105
"Railroad Apt in Greenpoint, BKLYN","Brooklyn","Greenpoint","Entire home/apt",90
"Your Nice Cozy Little Home Away From Home","Bronx","Castle Hill","Entire home/apt",73
"2BR Apartment in Ridgewood, 20min to Manhattan","Queens","Ridgewood","Entire home/apt",130
"Private Room in Quiet, Relaxed Apartment","Queens","Jackson Heights","Private room",65
"ONE Bed Room →→→20mins to Manhattan ☆彡 Wow! COZY!","Queens","Woodside","Private room",25
"Sunny Apartment with rooftop views in Williamsburg","Brooklyn","Williamsburg","Private room",100
"Private and Cozy Studio  Pelham Gardens - Bx, NY.","Bronx","Pelham Gardens","Entire home/apt",60
"Private Room near Columbia University","Manhattan","Morningside Heights","Private room",70
"Bushwick's LARGEST Art-Filled Room in New Building","Brooklyn","Bushwick","Private room",50
"Brand new Bedroom NYC Manhattan location!","Manhattan","Harlem","Private room",75
"Spacious home in gorgeous area; families welcome!","Brooklyn","Clinton Hill","Entire home/apt",140
"Large and Sunny 2 bed in Sunset Park","Brooklyn","Borough Park","Entire home/apt",130
"Invitation to travelers","Brooklyn","Bedford-Stuyvesant","Private room",82
"3 Bed 2 Full Bath Dream Loft By 4 Train Sleeps 7","Manhattan","East Harlem","Entire home/apt",307
"Cozy, Friendly Apt Share For Young Professionals","Brooklyn","Crown Heights","Private room",72
"Gorgeous sunny prime SoHo 1BR Apt.","Manhattan","Greenwich Village","Entire home/apt",290
"🌿 Cozy guest quarters 🌾green yogi palace apt 🍃","Manhattan","East Village","Private room",44
"BRAND NEW4 BEDROOM APARTMENT IN BEDSTUY","Brooklyn","Bedford-Stuyvesant","Entire home/apt",100
"Deluxe Bedroom - 30 minutes from Midtown!","Bronx","Mount Hope","Private room",70
"great room in the best place","Brooklyn","Crown Heights","Private room",44
"Bedroom in beautiful Brooklyn apartment","Brooklyn","Fort Greene","Private room",55
"Sunny Warm Quiet NYC Retreat","Manhattan","Washington Heights","Private room",68
"Spacious 1st fl-basement duplex 20min to Times Sq!","Manhattan","Upper East Side","Entire home/apt",186
"Designer studio in Luxury Building","Manhattan","Battery Park City","Entire home/apt",225
"Cozy East Village apartment","Manhattan","East Village","Entire home/apt",80
"THE SEXY SUITE SPOT","Brooklyn","Crown Heights","Private room",75
"2 bed, 2 bath, roof deck artsy gem in East Village","Manhattan","East Village","Entire home/apt",199
"Beautiful Park Slope Brownstone","Brooklyn","Park Slope","Entire home/apt",350
"The Heights","Manhattan","Washington Heights","Private room",70
"Studio in Manhattan","Manhattan","Hell's Kitchen","Entire home/apt",152
"Hell's Kitchen bedroom with city views","Manhattan","Hell's Kitchen","Private room",120
"Charming, Cozy & spacious  bedroom in Brooklyn","Brooklyn","Canarsie","Private room",120
"A Simple Studio/Entire Apt/JFK abt 5mi","Queens","St. Albans","Private room",89
"Art and Plant Filled Private Room","Brooklyn","Sunset Park","Private room",65
"Master bedroom in middle of the Manhattan","Manhattan","Hell's Kitchen","Private room",150
"Spacious Manhattan Loft w/ Private Terrace!!!","Manhattan","East Harlem","Entire home/apt",159
"Private Cozy Bright Brooklyn Spot","Brooklyn","Bedford-Stuyvesant","Private room",72
"1 bedroom in a 2 bedroom house","Queens","Briarwood","Private room",40
"First Floor Studio on the Upper East Side!","Manhattan","Upper East Side","Entire home/apt",115
"1 bdrm apt. on Orchard and Broome LES","Manhattan","Lower East Side","Entire home/apt",150
"4min walk from Steinway Station : 200sqft Big room","Queens","Astoria","Private room",46
"Renovated Room Ready for Move in Hell's Kitchen","Manhattan","Hell's Kitchen","Private room",63
"LUXURY STUDIO ON WEST 56TH ST-POOL/GYM/CLUB HOUSE","Manhattan","Midtown","Entire home/apt",225
"Modern 2 BR / 1.5 Bath in Lower Manhattan","Manhattan","Two Bridges","Entire home/apt",110
"Beautiful Cute Studio, Fort Greene","Brooklyn","Fort Greene","Entire home/apt",140
"PRIVATE ROON IN NEW YORK MANHATTAN","Manhattan","Washington Heights","Private room",53
"Beautiful spacious apt in the heart of Bushwick","Brooklyn","Bushwick","Entire home/apt",130
"Private Room for Rent New York City","Queens","Richmond Hill","Private room",45
"Cute Plant Themed Bedroom","Bronx","Port Morris","Private room",65
"Perfect 2 bed in midtown east","Manhattan","Kips Bay","Entire home/apt",180
"Amazing Location - Times Sq./5th Ave/all trains!","Manhattan","Hell's Kitchen","Entire home/apt",86
"Hello Brooklyn! Stylish home in the heart of BK","Brooklyn","East Flatbush","Entire home/apt",98
"Minimalist Brooklyn Artist's Loft (Fort Greene)","Brooklyn","Fort Greene","Entire home/apt",164
"Sunny East Village 1 Bedroom","Manhattan","East Village","Entire home/apt",103
"Timesquare SPotlight Apartment! Monthly Specials!","Manhattan","Hell's Kitchen","Entire home/apt",399
"Light-Filled 2 BR in Brooklyn","Brooklyn","Clinton Hill","Entire home/apt",95
"3 Bedroom Downtown NYC loft","Manhattan","Financial District","Entire home/apt",600
"Harlem luxury private modern room!","Manhattan","Harlem","Private room",46
"Neat, Cozy Apartment Near Manhattan","Brooklyn","East Flatbush","Entire home/apt",75
"Lovely Entire Studio just 15 min to Manhattan","Queens","Ditmars Steinway","Entire home/apt",169
"[307] 5 min WALK to Times Square","Manhattan","Hell's Kitchen","Private room",156
"Upper East Side 3 BR apartment","Manhattan","Upper East Side","Entire home/apt",1025
"Large & bright 2bd/2ba steps from everything","Brooklyn","Crown Heights","Entire home/apt",250
"Tribeca Single Bedroom in a Great Location","Manhattan","Tribeca","Private room",70
"Beautiful Brooklyn Brownstone for October","Brooklyn","Bedford-Stuyvesant","Private room",45
"Breathtaking 3 BD in SOHO! Absolutely stunning!!","Manhattan","Lower East Side","Entire home/apt",431
"Amazing Private Bedroom on UES of New York City","Manhattan","East Harlem","Private room",100
"Luxurious 2BR in Wall Street","Manhattan","Financial District","Entire home/apt",225
"Charming Northern Manhattan Studio","Manhattan","Washington Heights","Entire home/apt",75
"Queen Room near Flushing and Arthur Ashe Stadium- Breakfast Included","Queens","Bayside","Hotel room",189
"Time Square - Comfy Standard Queen","Manhattan","Hell's Kitchen","Hotel room",135
"Private Room close to subway (1/3)","Queens","Jackson Heights","Private room",75
"Modern Brooklyn Brownstone","Brooklyn","Bedford-Stuyvesant","Entire home/apt",340
"Walk to Time Square or Javit Center Brickwall Room","Manhattan","Hell's Kitchen","Private room",39
"Cozy spacious Brooklyn apartment!","Brooklyn","East Flatbush","Entire home/apt",85
"Luxurious Studio at MidTown Manhattan","Manhattan","Midtown","Entire home/apt",228
"1 BR Apt in Park Slope Brooklyn","Brooklyn","Park Slope","Entire home/apt",125
"Clean and Cozy Room in Williamsburg!","Brooklyn","Williamsburg","Private room",80
"Boutique Luxury in the Heart of Chelsea","Manhattan","Chelsea","Entire home/apt",199
"4 Bedroom 2 Bathroom","Bronx","Williamsbridge","Entire home/apt",199
"2 Bedroom. Private apt. (L14)","Queens","Maspeth","Entire home/apt",125
"Nice place in Brooklyn .","Brooklyn","Greenpoint","Entire home/apt",123
"Bright & cozy 1BR/Balcony next to 3 subways!","Brooklyn","Williamsburg","Entire home/apt",200
"Beautiful home close to CentralPark","Manhattan","Upper West Side","Entire home/apt",190
"Mid-Century Museum Sleepover","Brooklyn","Williamsburg","Entire home/apt",250
"Cozy Apartment in Fort Greene","Brooklyn","Fort Greene","Entire home/apt",140
"NYC’s Times Square 18min away! A NYC steal!","Manhattan","Harlem","Private room",76
"Bright large room in Astoria","Queens","Astoria","Private room",40
"East Village Sanctuary","Manhattan","East Village","Entire home/apt",100
"Modern, big and comfy space in the heart of NYC","Bronx","Mount Hope","Entire home/apt",197
"Fort Greene, Brooklyn: Front Bedroom","Brooklyn","Fort Greene","Private room",85
"Luxury bedroom in Lic with Manhattan view","Queens","Long Island City","Private room",75
"Home away from home in great neighborhood.","Brooklyn","Greenpoint","Private room",225
"Amazing Midtown luxury studio","Manhattan","Midtown","Entire home/apt",279
"2 twins bed Private room  in Brooklyn","Brooklyn","Flatbush","Private room",45
"2 Bedroom in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",150
"Peaceful Island in the city","Manhattan","Murray Hill","Entire home/apt",150
"Living in the Manhattan","Manhattan","Washington Heights","Private room",50
"Artist Loft, Sunny Private Room Near 2 Metros","Brooklyn","Bushwick","Private room",66
"Summer in Gramercy Park. New York","Manhattan","Gramercy","Entire home/apt",120
"Astoria Apt - 15 mins away from Manhattan","Queens","Ditmars Steinway","Entire home/apt",80
"Bushwick palace","Brooklyn","Bushwick","Entire home/apt",101
"The Residences at W New York - Downtown - Apt 29D","Manhattan","Financial District","Entire home/apt",211
"Spacious Williamsburg Apartment","Brooklyn","Williamsburg","Private room",73
"Independent Basement Apt.2 bedrooms","Queens","Jackson Heights","Entire home/apt",58
"Separate PRIVATE ROOM furnished, Close to JFK","Queens","Howard Beach","Private room",50
"Cozy room in Brooklyn","Brooklyn","Bushwick","Private room",39
"Unique stylish garden apartment","Brooklyn","Williamsburg","Entire home/apt",450
"Large Bedroom in Huge LES Apartment","Manhattan","Lower East Side","Private room",87
"BRAND NEW 4 Bed Apartment in Stuyvesant Heights!","Brooklyn","Bedford-Stuyvesant","Entire home/apt",100
"Prolonged Traveler's Dream(a month first & more)","Bronx","Hunts Point","Private room",40
"Sunny, Spacious & Sweet 2BD home!","Brooklyn","Williamsburg","Entire home/apt",245
"Christmas and New Year sublet offer","Manhattan","Financial District","Private room",149
"Private Apartment / Shared Bathroom 428","Manhattan","Midtown","Private room",71
"Traveller's Flat – Hell's Kitchen","Manhattan","Hell's Kitchen","Entire home/apt",145
"Easy access to Manhattan : Nice Condition room","Queens","Jackson Heights","Private room",34
"Beautiful 1 Bedroom in Grammercy","Manhattan","Kips Bay","Entire home/apt",200
"NYC House rent","Queens","Maspeth","Entire home/apt",166
"Spacious, Family-Friendly, UWS Duplex w/ Huge Yard","Manhattan","Upper West Side","Entire home/apt",300
"Cozy twin size bedroom & large closet in Manhattan","Manhattan","East Harlem","Private room",35
"Sunny 2nd Bedroom in Cheery Bushwick Apt","Brooklyn","Bushwick","Private room",100
"Hyper Chic, Bi-Level Apartment + Garden","Manhattan","Harlem","Entire home/apt",410
"⚡Real 4bd Apartment in Trendy Location ❤️","Manhattan","Chelsea","Entire home/apt",549
"Spacious charming rooms for big city living!","Manhattan","Harlem","Private room",80
"Sunny 2 Bedroom, 2 Bathroom in Prospect Heights","Brooklyn","Prospect Heights","Entire home/apt",108
"Lovely, Modern, Garden Apartment","Brooklyn","Gowanus","Entire home/apt",200
"1 bdr apt#3 in a renovated bright brownstone","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"Master Bedroom of 2","Queens","East Elmhurst","Private room",50
"Private 2 Bedrooms - Subway Across Street","Queens","Woodhaven","Entire home/apt",44
"BEST LOCATION !!! 3min to Rockefeller Plaza (R)","Manhattan","Midtown","Private room",249
"Beautiful Large Bedroom on UWS !!","Manhattan","Upper West Side","Private room",85
"Comfortable Single Room - 15min Manhattan","Queens","Ditmars Steinway","Private room",39
"Fully Furnished Studio with Private Outdoor Space","Brooklyn","Fort Greene","Entire home/apt",115
"Spacious 1 bedroom in luxe building","Manhattan","Harlem","Private room",55
"Affordable Shared Room | Full Line of Amenities","Brooklyn","Bedford-Stuyvesant","Shared room",26
"Spacious Full Studio BEST LOCATION in Brooklyn","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",100
"East Village 1 Bdrm Price Negotiable Exposed Brick","Manhattan","East Village","Entire home/apt",99
"Charming and Cozy Bedroom in Artists Colony","Brooklyn","Williamsburg","Private room",35
"Magical, Trendy, and Hip Times Square studio","Manhattan","Hell's Kitchen","Entire home/apt",165
"Aliz Hotel Times Square, Standard Guest Room","Manhattan","Hell's Kitchen","Private room",198
"Large, Sunny Room near Manhattan","Queens","Sunnyside","Private room",120
"Unique Studio Loft in Brooklyn","Brooklyn","Greenpoint","Entire home/apt",245
"Private Entrance Basement Studio","Brooklyn","Williamsburg","Entire home/apt",102
"Great private room in NYC 20 min to Manhattan","Queens","Sunnyside","Private room",55
"Spacious Studio in Greenwich Village, Ideal Downtown Location","Manhattan","Greenwich Village","Entire home/apt",232
"sunny, cozy room near subway","Brooklyn","Bedford-Stuyvesant","Private room",75
"Huge room in East Williamsburg","Brooklyn","Williamsburg","Private room",60
"Cozy Harlem 1BD 15 mins to midtown","Manhattan","Harlem","Entire home/apt",140
"Beautiful 2-bedroom Williamsburg Apartment","Brooklyn","Williamsburg","Entire home/apt",250
"Classic Furnished Studio Apartment in Mott Haven","Bronx","Port Morris","Entire home/apt",229
"Hell's Kitchen Luxury (East Room)","Manhattan","Hell's Kitchen","Private room",140
"1-BR In ONE-OF-A-KIND, EXPOSED-BRICK LOFT w/ VIEWS","Brooklyn","Williamsburg","Private room",165
"New York City - World of Antiques","Queens","Ridgewood","Entire home/apt",67
"$4300/mo. Downtown 2BR 2Bath Sleeps 5 Min.30 days","Manhattan","Battery Park City","Entire home/apt",133
"Spacious Apartment","Manhattan","Little Italy","Entire home/apt",90
"Cozy Room& Area in Queens!","Queens","Woodside","Private room",36
"Crown Heights, Franklin Ave- Sunny Room","Brooklyn","Crown Heights","Private room",32
"8 Bedroom Luxury Townhouse in Midtown-Sleeps 16","Manhattan","Hell's Kitchen","Entire home/apt",1100
"Best Manhattan Studio Deal!","Manhattan","Upper East Side","Shared room",90
"Cozy Room by Kaufman Studios","Queens","Astoria","Private room",70
"NICE room *close to train M&R. 20min to Manhattan","Queens","Elmhurst","Private room",60
"Queen Classic Room","Manhattan","Lower East Side","Entire home/apt",130
"Private bedroom w/Terrace","Manhattan","Murray Hill","Private room",119
"Comfy Room, Close to the Train!","Brooklyn","Bushwick","Private room",50
"HUGE Master Suite Private Bath in Spacious Duplex","Manhattan","Hell's Kitchen","Private room",99
"Turtle Bay's Modern Flat  Elevator & Laundry","Manhattan","Midtown","Entire home/apt",117
"Lovely 2-BR condo with private rooftop terrace","Brooklyn","Williamsburg","Entire home/apt",230
"Beautiful Home for seasonal rental","Brooklyn","East Flatbush","Entire home/apt",150
"Coziness from a westelm catalog","Manhattan","Harlem","Private room",150
"Cozy Loft Apartment - Convenient Location!","Manhattan","Chelsea","Private room",125
"Nini’s Cozy Room","Manhattan","East Harlem","Private room",55
"A quiet space in Brooklyn","Brooklyn","Prospect-Lefferts Gardens","Private room",95
"Lovely Micro Studio in Murray Hill NYC","Manhattan","Kips Bay","Entire home/apt",85
"2 BR - Clean - Sunny - Quiet - Park Slope South","Brooklyn","Sunset Park","Entire home/apt",124
"Two bedroom , Jacuzzi tub, getaway near beach","Queens","Rockaway Beach","Entire home/apt",161
"Tranquil & Economical Room, 10min Walk to Station!","Queens","Sunnyside","Private room",43
"Garden Studio @ Bleecker & West 11th!","Manhattan","West Village","Entire home/apt",150
"Fancy & Cozy room with clothing hang in Manhattan","Manhattan","Upper East Side","Private room",59
"","Bronx","Norwood","Private room",11
"JFK 10mins, LGA 15mins drive, Two Beds in a Room","Queens","Briarwood","Private room",70
"Cozy room in Roosevelt Island.","Manhattan","Roosevelt Island","Private room",60
"Safe, Cozy, Cute and Cheap","Queens","Rego Park","Entire home/apt",52
"Private Room in Upper Manhattan","Manhattan","Washington Heights","Private room",49
"Harlem 2 Bedroom","Manhattan","East Harlem","Entire home/apt",149
"UWS - Pre-War Building- Large space","Manhattan","Upper West Side","Private room",120
"BIG & SUNNY, 1 STOP FROM MANHATTAN","Brooklyn","Clinton Hill","Entire home/apt",275
"Upper Westside Charmer","Manhattan","Upper West Side","Entire home/apt",90
"Cute Room. Manhattan. 20 min train to Time Square!","Manhattan","Harlem","Private room",68
"The Explorer's Lounge in Bushwick","Brooklyn","Bushwick","Entire home/apt",224
"One Room One-der","Queens","Jamaica","Private room",45
"Beautiful Light Filled Room in Lower East Side","Manhattan","Lower East Side","Private room",95
"Hamilton Heights Gem","Manhattan","Harlem","Private room",75
"Room Private Entrance Close to Subway/Bus/Airport","Queens","Ditmars Steinway","Private room",78
"1st Time/Solo/Duo Travelers!Charming Studio Share!","Manhattan","Chelsea","Shared room",76
"Private Apartment / Shared Bathroom 619","Manhattan","Midtown","Private room",76
"HUGE WASHINGTON HEIGHTS ROOM","Manhattan","Washington Heights","Private room",80
"Spacious Room in Astoria!","Queens","Astoria","Private room",50
"Bogota","Manhattan","Chelsea","Entire home/apt",10
"Union Square area 1BD Apartment","Manhattan","Gramercy","Entire home/apt",275
"Charming 2brs w/ private garden in Carroll Gardens","Brooklyn","Gowanus","Entire home/apt",140
"Large clean room for a girl-15mins to Manhattan","Queens","Astoria","Private room",39
"One bedroom Suite  at Arvene by the sea.","Queens","Arverne","Entire home/apt",130
"Private 1 bedroom /In Hamilton Heights Townhouse.","Manhattan","Harlem","Private room",120
"2  bedroom 1 bath  in Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",180
"Prime Bushwick Room w a Rooftop & friendly Dog","Brooklyn","Bushwick","Private room",121
"Studio apartment Midtown East in NY","Manhattan","Murray Hill","Entire home/apt",110
"The Best , The Cutest  & The Cheapest ( :  !!!","Queens","Astoria","Private room",44
"Private Room Just 2 Blocks Away f/ Subway Station","Queens","Ditmars Steinway","Private room",66
"Cozy, Confortable and Nice place in Bay Ridge","Brooklyn","Bay Ridge","Private room",48
"Brownstone apt 2 bedrooms rent the entire apt","Brooklyn","Bushwick","Entire home/apt",300
"2 Bedroom next to Prospect Park!","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",800
"Private Room in East Village","Manhattan","East Village","Private room",80
"Gorgeous 80's vibe loft with a modern touch","Brooklyn","Canarsie","Entire home/apt",130
"Brooklyn Designer Suite | 3BD/1BA |Washer/Dryer","Brooklyn","East New York","Entire home/apt",219
"Individual Cubicle Room in NYC/not shared/just you","Manhattan","Chelsea","Private room",82
"Clean, Cozy, & Private One  Bedroom  Apartment","Bronx","Throgs Neck","Entire home/apt",150
"Spacious, Bright, and Convienent in East Harlem","Manhattan","East Harlem","Entire home/apt",80
"2 Bedroom in Heart of Williamsburg","Brooklyn","Williamsburg","Entire home/apt",278
"Charming private Studio","Staten Island","Randall Manor","Entire home/apt",69
"Charming Cozy Home Private House","Queens","East Elmhurst","Entire home/apt",210
"Sanctuary on Smith","Brooklyn","Carroll Gardens","Entire home/apt",100
"Cozy and Laid Back in L.E.S.","Manhattan","East Village","Private room",129
"One bedroom escape","Manhattan","Harlem","Entire home/apt",129
"Bed-Stuy Fly","Brooklyn","Bedford-Stuyvesant","Entire home/apt",146
"Perfect Place to stay in Manhattan","Manhattan","Harlem","Private room",42
"PRIVATE APARTMENT in WILLIAMSBURG!!!!!!","Brooklyn","Williamsburg","Entire home/apt",175
"Mi dulce hogar","Queens","East Elmhurst","Private room",50
"Nice quiet room","Brooklyn","Flatlands","Private room",250
"Room in the heart of Williamsburg","Brooklyn","Williamsburg","Private room",70
"Furnished Gorgeous Room in Upper East Side","Manhattan","Upper East Side","Private room",76
"* Cozy & Spacious Apartment *Eastside Manhattan *","Manhattan","Kips Bay","Entire home/apt",165
"Classic UES 1BR w/ Balcony, Elevator, Gym, walk to 4,5,6, by Blueground","Manhattan","Upper East Side","Entire home/apt",291
"Beautiful One-Bedroom Apartment  Near Central Park","Manhattan","Upper East Side","Entire home/apt",130
"Private half bath in Manhattan NEW construction","Manhattan","Inwood","Private room",48
"Anne's small room upstairs","Manhattan","East Village","Private room",54
"Sunlit Lower East Side Bedroom in Furnished Home","Manhattan","Chinatown","Private room",73
"Cheap Rental in Manhattan Downtown！","Manhattan","Midtown","Entire home/apt",2000
"STUNNING NYC ROOM RIVER VIEW/LIGHT!","Manhattan","Harlem","Private room",112
"Furnished, Renovated & Appealing Room in Astoria NY","Queens","Astoria","Private room",58
"Sunny studio apartment in downtown Manhattan","Manhattan","Financial District","Entire home/apt",110
"Sunny top floor 1BR  in Victorian Brooklyn","Brooklyn","Flatbush","Entire home/apt",120
"Junior 1 Bedroom in Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",110
"Dream bedroom in the heart of downtown Manhattan","Manhattan","Chinatown","Private room",88
"Private Brooklyn studio, cozy for wintertime","Brooklyn","East Flatbush","Entire home/apt",80
"Subarriendo apartamento enero  febrero 2018","Queens","Astoria","Entire home/apt",70
"Inspirational Loft, Near Subway, Old Style House","Queens","Woodhaven","Private room",77
"Perfect, Queen Size Bed w/Free Parking /near JFK","Queens","Bayswater","Private room",90
"High End Luxury 2 Bedroom Grand Central","Manhattan","Murray Hill","Entire home/apt",175
"Outstanding, bright and cozy Brooklyn bedroom","Brooklyn","Bedford-Stuyvesant","Private room",65
"Minimalist studio apartment in East Village","Manhattan","East Village","Entire home/apt",121
"4-bed","Manhattan","Stuyvesant Town","Entire home/apt",549
"Great Upper East Side Location!","Manhattan","Upper East Side","Entire home/apt",135
"Aiden’s Red Door @ Crown Heights","Brooklyn","Crown Heights","Private room",65
"Cozy studio apartment","Brooklyn","Kensington","Entire home/apt",75
"Huge room in Bushwick loft with balcony","Queens","Ridgewood","Private room",75
"India Room at Incentra Village Guest House","Manhattan","West Village","Hotel room",249
"2BR Apartment in the Heart of Manhattan.","Manhattan","Kips Bay","Private room",199
"NY TIME SQUARE DOUBLE ROOM-NON SMOKING","Manhattan","Hell's Kitchen","Private room",199
"Sunny large private room in Park Slope","Brooklyn","Park Slope","Private room",80
"Spacious Room by Subway! JFK 10min,Manhattan 30min","Queens","Richmond Hill","Private room",83
"Large 1 Bedroom apartment in 1897 landmarked house","Brooklyn","Crown Heights","Entire home/apt",112
"Studio 7 : Williamsburg","Brooklyn","Williamsburg","Entire home/apt",224
"Mellow, Relaxed Apt","Staten Island","St. George","Entire home/apt",89
"Luxury 4BR Apartment in  Prime Williamsburg","Brooklyn","Williamsburg","Entire home/apt",279
"Clean & Modern Studio | Washer/D | Work Desk | NYC","Manhattan","Hell's Kitchen","Entire home/apt",199
"Sunny FULL FLOOR 2 bedroom in Greenpoint, Brooklyn","Brooklyn","Greenpoint","Entire home/apt",175
"2B | LOCATION  |  LOCATION  |  LOCATION |","Manhattan","Gramercy","Entire home/apt",189
"Your Vacation Home in New York","Queens","Forest Hills","Entire home/apt",450
"Super Cute Garden Apartment in Bed-Stuy!","Brooklyn","Bedford-Stuyvesant","Entire home/apt",117
"✪ Comfortable Downtown Manhattan Suite - 2BR ✪","Manhattan","Lower East Side","Entire home/apt",257
"Super Spacious 2 bedroom apt in Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",200
"Massive 4000 Sq Ft 8 BR Townhouse + Backyard","Brooklyn","Bushwick","Entire home/apt",1085
"Nice Room in Beautiful Clinton Hill","Brooklyn","Bedford-Stuyvesant","Private room",45
"Sunny Quiet Room In Harlem","Manhattan","Harlem","Private room",59
"West Chelsea Brownstone Apartment","Manhattan","Chelsea","Entire home/apt",200
"LARGE LUXURIOUS BEDROOM CLOSE TO MANHATTAN","Queens","Astoria","Private room",65
"Pvt studio with pvt entrance&pvt bathroom near JFK","Queens","Ozone Park","Entire home/apt",85
"Sunlit Bushwick Bk Room - 20 min From Manhattan!","Brooklyn","Bushwick","Private room",55
"Cozy Getaway, steps from the Train, Stocked Fridge","Manhattan","East Harlem","Private room",85
"Full-Sized Harlem Room with Style","Manhattan","Harlem","Private room",60
"Hip Stylish WIlliamsburg Studio","Brooklyn","Williamsburg","Entire home/apt",175
"Tribeca Studio w/ Gym + Pool by Blueground","Manhattan","Tribeca","Entire home/apt",328
"Welcoming, Clean, Cheap on St Marks","Manhattan","East Village","Private room",130
"Sunny Alcove 1-bdrm- Rooftop with view & backyard!","Manhattan","East Village","Entire home/apt",95
"Designer, Spacious 2 Bedroom, 2 Bath, Roof Patio","Manhattan","Lower East Side","Entire home/apt",378
"Bay Ridge, Vista Place","Brooklyn","Bay Ridge","Entire home/apt",255
"Brooklyn House at 443 linden Bedroom 4","Brooklyn","East Flatbush","Private room",60
"spacious studio with balcony","Manhattan","Upper East Side","Entire home/apt",142
"Upscale Apt blocks to Columbia Med./Presb. Hosp.","Manhattan","Washington Heights","Entire home/apt",90
"Clean & spacious room for rent","Manhattan","Harlem","Private room",45
"Cozy 1 bed in amazing NYC location! (Chelsea)","Manhattan","Chelsea","Entire home/apt",175
"Brooklyn home on the beach","Brooklyn","Brighton Beach","Private room",35
"Cozy room  with Private bathroom in Ditmas Park","Brooklyn","Flatbush","Private room",120
"Modern ,Comfortable 2 bedroom apartment in Bklyn .","Brooklyn","East Flatbush","Entire home/apt",190
"Home away from home","Manhattan","Hell's Kitchen","Entire home/apt",179
"Bushwick High End Bedroom with Private Bath","Brooklyn","Bushwick","Private room",40
"Ideal junior 1 bedroom  suite in Midtown Manhattan","Manhattan","Murray Hill","Entire home/apt",131
"LaGuardia airport,  JFK airport, citi fields,","Queens","Flushing","Entire home/apt",75
"Spacious 1 Bedroom Apartment In Midtown With Patio","Manhattan","Hell's Kitchen","Entire home/apt",109
"Entire Apartment - Spacious 1 BR in West Village","Manhattan","West Village","Entire home/apt",173
"3 Cozy Zen Rooms in Brownstone apt.","Brooklyn","Bedford-Stuyvesant","Private room",200
"Clean, Cosy apartment in silent district","Brooklyn","Bensonhurst","Entire home/apt",120
"Apartamento muy acogedor en Manhattan","Manhattan","Washington Heights","Entire home/apt",100
